"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 17 20:01:26 GMT 2023","Mon Jul 17 20:01:26 GMT 2023","419","api","v1","delegations","","","get Data For Pool Table",""
"passed","Mon Jul 17 20:01:22 GMT 2023","Mon Jul 17 20:01:22 GMT 2023","98","api","v1","stakes","","","Get reward transaction of stake key",""
"passed","Mon Jul 17 20:01:26 GMT 2023","Mon Jul 17 20:01:26 GMT 2023","187","api","v1","delegations","","","Find Top(default is 3) Delegation Pool order by pool size",""
"passed","Mon Jul 17 20:01:22 GMT 2023","Mon Jul 17 20:01:23 GMT 2023","115","api","v1","stakes","","","Get top delegators",""
"passed","Mon Jul 17 20:01:28 GMT 2023","Mon Jul 17 20:01:30 GMT 2023","2343","api","v1","addresses","","","Get top addresses",""
"passed","Mon Jul 17 20:01:22 GMT 2023","Mon Jul 17 20:01:22 GMT 2023","97","api","v1","stakes","","","Get a stake detail by stake key",""
"passed","Mon Jul 17 20:01:20 GMT 2023","Mon Jul 17 20:01:20 GMT 2023","113","api","v1","txs","","","Get current transactions",""
"passed","Mon Jul 17 20:01:27 GMT 2023","Mon Jul 17 20:01:27 GMT 2023","96","api","v1","blocks","","","Get tx list of block",""
"passed","Mon Jul 17 20:01:25 GMT 2023","Mon Jul 17 20:01:25 GMT 2023","93","api","v1","policies","","","Get a policy detail",""
"passed","Mon Jul 17 20:01:20 GMT 2023","Mon Jul 17 20:01:21 GMT 2023","1504","api","v1","tokens","","","Filter token",""
"passed","Mon Jul 17 20:01:21 GMT 2023","Mon Jul 17 20:01:22 GMT 2023","108","api","v1","tokens","","","Filter holders by token",""
"passed","Mon Jul 17 20:01:19 GMT 2023","Mon Jul 17 20:01:20 GMT 2023","830","api","v1","txs","","","Get transaction detail by hash",""
"passed","Mon Jul 17 20:01:22 GMT 2023","Mon Jul 17 20:01:22 GMT 2023","113","api","v1","tokens","","","Detail token",""
"passed","Mon Jul 17 20:01:21 GMT 2023","Mon Jul 17 20:01:21 GMT 2023","113","api","v1","tokens","","","Filter transaction by token",""
"passed","Mon Jul 17 20:01:23 GMT 2023","Mon Jul 17 20:01:23 GMT 2023","160","api","v1","stakes","","","get Data For Stake Registration",""
"passed","Mon Jul 17 20:01:27 GMT 2023","Mon Jul 17 20:01:28 GMT 2023","182","api","v1","addresses","","","Get list transaction of address",""
"passed","Mon Jul 17 20:01:25 GMT 2023","Mon Jul 17 20:01:25 GMT 2023","105","api","v1","policies","","","Get tokens by policy",""
"passed","Mon Jul 17 20:01:23 GMT 2023","Mon Jul 17 20:01:23 GMT 2023","196","api","v1","stakes","","","get Data For Stake De Registration",""
"passed","Mon Jul 17 20:01:22 GMT 2023","Mon Jul 17 20:01:22 GMT 2023","104","api","v1","stakes","","","Get stake history of stake key",""
